date,time,ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.flags,tcp.window_size_value,tcp.options.mss_val
Mar 26, 2024 14:34:18.884844000 EDT,192.168.4.143,192.168.4.142,41919,912,0x0014,0,
Mar 26, 2024 14:34:18.884844000 EDT,192.168.4.143,192.168.4.142,41919,4550,0x0014,0,
Mar 26, 2024 14:34:18.884844000 EDT,192.168.4.143,192.168.4.142,41919,7676,0x0014,0,
Mar 26, 2024 14:34:18.884898000 EDT,192.168.4.143,192.168.4.142,41919,8383,0x0014,0,
Mar 26, 2024 14:34:18.884898000 EDT,192.168.4.143,192.168.4.142,41919,65000,0x0014,0,
Mar 26, 2024 14:34:18.884898000 EDT,192.168.4.143,192.168.4.142,41919,1864,0x0014,0,
Mar 26, 2024 14:34:18.884898000 EDT,192.168.4.143,192.168.4.142,41919,1130,0x0014,0,
Mar 26, 2024 14:34:18.884898000 EDT,192.168.4.143,192.168.4.142,41919,1185,0x0014,0,
Mar 26, 2024 14:34:18.884898000 EDT,192.168.4.143,192.168.4.142,41919,3283,0x0014,0,
Mar 26, 2024 14:34:18.884899000 EDT,192.168.4.143,192.168.4.142,41919,13783,0x0014,0,
Mar 26, 2024 14:34:18.884899000 EDT,192.168.4.143,192.168.4.142,41919,32779,0x0014,0,
Mar 26, 2024 14:34:18.884921000 EDT,192.168.4.143,192.168.4.142,41919,2021,0x0014,0,
